kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
170322,Tanjung Agung Palik,11.01.01.2498
170323,Ulok Kupai,11.01.01.2499
170324,Pinang Raya,11.01.01.2500
170325,Marga Sakti Sebelat (Marga Sakti),11.01.01.2501
170401,Kinal,11.01.01.2502
170402,Tanjung Kemuning,11.01.01.2503
170403,Kaur Utara,11.01.01.2504
170404,Kaur Tengah,11.01.01.2505
170405,Kaur Selatan,11.01.01.2506
170406,Maje,11.01.01.2507
170407,Nasal,11.01.01.2508
170408,Semidang Gumay / Gumai,11.01.01.2509
170409,Kelam Tengah,11.01.01.2510
170410,Luas,11.01.01.2511
170411,Muara Sahung,11.01.01.2512
170412,Tetap (Muara Tetap),11.01.01.2513
170413,Lungkang Kule,11.01.01.2514
170414,Padang Guci Hilir,11.01.01.2515
170415,Padang Guci Hulu,11.01.01.2516
170501,Sukaraja,11.01.01.2517
170502,Seluma,11.01.01.2518
170503,Talo,11.01.01.2519
170504,Semidang Alas,11.01.01.2520
170505,Semidang Alas Maras,11.01.01.2521
170506,Air Periukan,11.01.01.2522
170507,Lubuk Sandi,11.01.01.2523
170508,Seluma Barat,11.01.01.2524
170509,Seluma Timur,11.01.01.2525
170510,Seluma Utara,11.01.01.2526
170511,Seluma Selatan,11.01.01.2527
170512,Talo Kecil,11.01.01.2528
170513,Ulu Talo,11.01.01.2529
170514,Ilir Talo,11.01.01.2530
170601,Lubuk Pinang,11.01.01.2531
170602,Kota Mukomuko (Mukomuko Utara),11.01.01.2532
170603,Teras Terunjam,11.01.01.2533
170604,Pondok Suguh,11.01.01.2534
170605,Ipuh (Muko Muko Selatan),11.01.01.2535
170606,Malin Deman,11.01.01.2536
170607,Air Rami,11.01.01.2537
170608,Teramang Jaya,11.01.01.2538
170609,Selagan Raya,11.01.01.2539
170610,Penarik,11.01.01.2540
170611,XIV Koto,11.01.01.2541
170612,V Koto,11.01.01.2542
170613,Air Majunto,11.01.01.2543
170614,Air Dikit,11.01.01.2544
170615,Sungai Rumbai,11.01.01.1858
170701,Lebong Utara,11.01.01.2545
170702,Lebong Atas,11.01.01.2546
170703,Lebong Tengah,11.01.01.2547
170704,Lebong Selatan,11.01.01.2548
170705,Rimbo Pengadang,11.01.01.2549
170706,Topos,11.01.01.2550
170707,Bingin Kuning,11.01.01.2551
170708,Lebong Sakti,11.01.01.2552
170709,Tubei (Pelabai),11.01.01.2553
170710,Amen,11.01.01.2554
170711,Uram Jaya,11.01.01.2555
170712,Pinang Belapis,11.01.01.2556
170801,Bermani Ilir,11.01.01.2557
170802,Ujan Mas,11.01.01.2262
170803,Tebat Karai,11.01.01.2558
170804,Kepahiang,11.01.01.2559
170805,Merigi,11.01.01.2560
170806,Kebawetan,11.01.01.2561
170807,Seberang Musi,11.01.01.2562
170808,Muara Kemumu,11.01.01.2563
170901,Karang Tinggi,11.01.01.2564
170902,Talang Empat,11.01.01.2565
170903,Pondok Kelapa,11.01.01.2566
170904,Pematang Tiga,11.01.01.2567
170905,Pagar Jati,11.01.01.2568
170906,Taba Penanjung,11.01.01.2569
170907,Merigi Kelindang,11.01.01.2570
170908,Merigi Sakti,11.01.01.2571
170909,Pondok Kubang,11.01.01.2572
170910,Bang Haji,11.01.01.2573
170911,Semidang Lagan,11.01.01.2574
177101,Selebar,11.01.01.2575
177102,Gading Cempaka,11.01.01.2576
177103,Teluk Segara,11.01.01.2577
177104,Muara Bangka Hulu,11.01.01.2578
177105,Kampung Melayu,11.01.01.2579
177106,Ratu Agung,11.01.01.2580
177107,Ratu Samban,11.01.01.2581
177108,Sungai Serut,11.01.01.2582
177109,Singaran Pati,11.01.01.2583
180104,Natar,11.01.01.2584
180105,Tanjung Bintang,11.01.01.2585
180106,Kalianda,11.01.01.2586
180107,Sidomulyo,11.01.01.2587
180108,Katibung,11.01.01.2588
180109,Penengahan,11.01.01.2589
180110,Palas,11.01.01.2590
180113,Jati Agung,11.01.01.2591
180114,Ketapang,11.01.01.2592
180115,Sragi,11.01.01.2593
180116,Raja Basa (Rajabasa),11.01.01.2594
180117,Candipuro,11.01.01.2595
180118,Merbau Mataram,11.01.01.2596
180121,Bakauheni,11.01.01.2597
180122,Tanjung Sari,11.01.01.2598
180123,Way Sulan,11.01.01.2599
180124,Way Panji,11.01.01.2600
180201,Kalirejo,11.01.01.2601
180202,Bangun Rejo,11.01.01.2602
180203,Padang Ratu,11.01.01.2603
180204,Gunung Sugih,11.01.01.2604
180205,Trimurjo,11.01.01.2605
180206,Punggur,11.01.01.2606
180207,Terbanggi Besar,11.01.01.2607
180208,Seputih Raman,11.01.01.2608
180209,Rumbia,11.01.01.2609
180210,Seputih Banyak,11.01.01.2610
180211,Seputih Mataram,11.01.01.2611
180212,Seputih Surabaya,11.01.01.2612
180213,Terusan Nunyai,11.01.01.2613
180214,Bumi Ratu Nuban,11.01.01.2614
180215,Bekri,11.01.01.2615
180216,Seputih Agung,11.01.01.2616
180217,Way Pangubuan,11.01.01.2617
180218,Bandar Mataram,11.01.01.2618
180219,Pubian,11.01.01.2619
180220,Selagai Lingga,11.01.01.2620
180221,Anak Tuha,11.01.01.2621
180222,Sendang Agung,11.01.01.2622
180223,Kota Gajah,11.01.01.2623
180224,Bumi Nabung,11.01.01.2624
180225,Way Seputih,11.01.01.2625
180226,Bandar Surabaya,11.01.01.2626
180227,Anak Ratu Aji,11.01.01.2627
180228,Putra Rumbia,11.01.01.2628
180301,Bukit Kemuning,11.01.01.2629
180302,Kotabumi,11.01.01.2630
180303,Sungkai Selatan,11.01.01.2631
180304,Tanjung Raja,11.01.01.2388
180305,Abung Timur,11.01.01.2632
180306,Abung Barat,11.01.01.2633
180307,Abung Selatan,11.01.01.2634
180308,Sungkai Utara,11.01.01.2635
180309,Kotabumi Utara,11.01.01.2636
180310,Kotabumi Selatan,11.01.01.2637
180311,Abung Tengah,11.01.01.2638
180312,Abung Tinggi,11.01.01.2639
180313,Abung Semuli,11.01.01.2640
180314,Abung Surakarta,11.01.01.2641
180315,Muara Sungkai,11.01.01.2642
180316,Bunga Mayang,11.01.01.2357
180317,Hulu Sungkai,11.01.01.2643
180318,Sungkai Tengah,11.01.01.2644
180319,Abung Pekurun,11.01.01.2645
180320,Sungkai Jaya,11.01.01.2646
180321,Sungkai Barat,11.01.01.2647
180322,Abung Kunang,11.01.01.2648
180323,Blambangan Pagar,11.01.01.2649
180404,Balik Bukit,11.01.01.2650
180405,Sumber Jaya,11.01.01.2651
180406,Belalau,11.01.01.2652
180407,Way Tenong,11.01.01.2653
180408,Sekincau,11.01.01.2654
180409,Suoh,11.01.01.2655
180410,Batu Brak,11.01.01.2656
180411,Sukau,11.01.01.2657
180415,Gedung Surian,11.01.01.2658
180418,Kebun Tebu,11.01.01.2659
180419,Air Hitam,11.01.01.2128
180420,Pagar Dewa,11.01.01.2660
180421,Batu Ketulis,11.01.01.2661
180422,Lumbok Seminung,11.01.01.2662
180423,Bandar Negeri Suoh,11.01.01.2663
180502,Menggala,11.01.01.2664
180506,Gedung Aji,11.01.01.2665
180508,Banjar Agung,11.01.01.2666
180511,Gedung Meneng,11.01.01.2667
180512,Rawa Jitu Selatan (Rawajitu Selatan),11.01.01.2668
180513,Penawar Tama,11.01.01.2669
180518,Rawa Jitu Timur (Rawajitu Timur),11.01.01.2670
180520,Banjar Margo,11.01.01.2671
180522,Rawa Pitu,11.01.01.2672
180523,Penawar Aji,11.01.01.2673
180525,Dente Teladas,11.01.01.2674
180526,Meraksa Aji,11.01.01.2675
180527,Gedung Aji Baru,11.01.01.2676
180529,Banjar Baru,11.01.01.2677
180530,Menggala Timur,11.01.01.2678
180601,Kota Agung (Kota Agung Pusat),11.01.01.2679
180602,Talang Padang,11.01.01.2405
180603,Wonosobo,11.01.01.2680
180604,Pulau Panggung,11.01.01.2681
180609,Cukuh Balak,11.01.01.2682
180611,Pugung,11.01.01.2683
180612,Semaka,11.01.01.2684
180613,Sumberejo (Sumber Rejo),11.01.01.2685
180615,Ulu Belu (Ulubelu),11.01.01.2686
180616,Pematang Sawa,11.01.01.2687
180617,Kelumbayan (Klumbayan),11.01.01.2688
180618,Kota Agung Barat,11.01.01.2689
180619,Kota Agung Timur,11.01.01.2690
180620,Gisting,11.01.01.2691
180621,Gunung Alip,11.01.01.2692
180624,Limau,11.01.01.2693
180625,Bandar Negeri Semuong,11.01.01.2694
180626,Air Naningan,11.01.01.2695
180627,Bulok,11.01.01.2696
180628,Kelumbayan Barat (Klumbayan Barat),11.01.01.2697
180701,Sukadana,11.01.01.2698
180702,Labuhan Maringgai,11.01.01.2699
180703,Jabung,11.01.01.2700
180704,Pekalongan,11.01.01.2701
180705,Sekampung,11.01.01.2702
180706,Batanghari,11.01.01.2703
180707,Way Jepara,11.01.01.2704
180708,Purbolinggo,11.01.01.2705
180709,Raman Utara,11.01.01.2706
180710,Metro Kibang,11.01.01.2707
180711,Marga Tiga (Margatiga),11.01.01.2708
180712,Sekampung Udik,11.01.01.2709
180713,Batanghari Nuban,11.01.01.2710
180714,Bumi Agung,11.01.01.2711
180715,Bandar Sribhawono (Bandar Sribawono),11.01.01.2712
180716,Mataram Baru,11.01.01.2713
180717,Melinting,11.01.01.2714
180718,Gunung Pelindung,11.01.01.2715
180719,Pasir Sakti,11.01.01.2716
180720,Waway Karya,11.01.01.2717
180721,Labuhan Ratu,11.01.01.2718
180722,Braja Selebah (Braja Slebah),11.01.01.2719
180723,Way Bungur,11.01.01.2720
180724,Marga Sekampung,11.01.01.2721
180801,Blambangan Umpu,11.01.01.2722
180802,Kasui,11.01.01.2723
180803,Banjit,11.01.01.2724
180804,Baradatu,11.01.01.2725
180805,Bahuga,11.01.01.2726
180806,Pakuan Ratu,11.01.01.2727
180807,Negeri Agung,11.01.01.2728
180808,Way Tuba,11.01.01.2729
180809,Rebang Tangkas,11.01.01.2730
180810,Gunung Labuhan,11.01.01.2731
180811,Negara Batin,11.01.01.2732
180812,Negeri Besar,11.01.01.2733
180813,Buay Bahuga,11.01.01.2734
180814,Bumi Agung,11.01.01.2711
180815,Umpu Semenguk,11.01.01.2735
180901,Gedong Tataan,11.01.01.2736
180902,Negeri Katon,11.01.01.2737
180903,Tegineneng,11.01.01.2738
180904,Way Lima,11.01.01.2739
180905,Padang Cermin,11.01.01.2740
180906,Punduh Pidada,11.01.01.2741
180907,Kedondong,11.01.01.2742
180908,Marga Punduh,11.01.01.2743
180909,Way Khilau,11.01.01.2744
180910,Teluk Pandan,11.01.01.2745
180911,Way Ratai,11.01.01.2746
181001,Pringsewu,11.01.01.2747
181002,Gading Rejo,11.01.01.2748
181003,Ambarawa,11.01.01.2749
181004,Pardasuka,11.01.01.2750
181005,Pagelaran,11.01.01.2751
181006,Banyumas,11.01.01.2752
181007,Adiluwih (Adi Luwih),11.01.01.2753
181008,Sukoharjo,11.01.01.2754
181009,Pagelaran Utara,11.01.01.2755
181101,Mesuji,11.01.01.2237
181102,Mesuji Timur,11.01.01.2756
181103,Rawa Jitu Utara,11.01.01.2757
181104,Way Serdang,11.01.01.2758
181105,Simpang Pematang,11.01.01.2759
181106,Panca Jaya,11.01.01.2760
181107,Tanjung Raya,11.01.01.1807
181201,Tulang Bawang Tengah,11.01.01.2761
181202,Tumijajar,11.01.01.2762
181203,Tulang Bawang Udik,11.01.01.2763
181204,Gunung Terang,11.01.01.2764
181205,Gunung Agung,11.01.01.2765
181206,Way Kenanga,11.01.01.2766
181207,Lambu Kibang,11.01.01.2767
181208,Pagar Dewa,11.01.01.2660
181209,Batu Putih,11.01.01.2768
181301,Pesisir Tengah,11.01.01.2769
181302,Pesisir Selatan,11.01.01.2770
181303,Lemong,11.01.01.2771
181304,Pesisir Utara,11.01.01.2772
181305,Karya Penggawa,11.01.01.2773
181306,Pulau Pisang (Pulaupisang),11.01.01.2774
181307,Way Krui,11.01.01.2775
181308,Krui Selatan,11.01.01.2776
181309,Ngambur,11.01.01.2777
181310,Ngaras (Bengkunat Belimbing),11.01.01.2778
181311,Bangkunat (Bengkunat),11.01.01.2779
187101,Kedaton,11.01.01.2780
187102,Sukarame,11.01.01.2781
187103,Tanjungkarang Barat (Tanjung Karang Barat),11.01.01.2782
187104,Panjang,11.01.01.2783
187105,Tanjungkarang Timur (Tanjung Karang Timur),11.01.01.2784
187106,Tanjungkarang Pusat (Tanjung Karang Pusat),11.01.01.2785
187107,Telukbetung Selatan,11.01.01.2786
187108,Telukbetung Barat,11.01.01.2787
187109,Telukbetung Utara,11.01.01.2788
187110,Rajabasa,11.01.01.2789
187111,Tanjung Senang,11.01.01.2790
187112,Sukabumi,11.01.01.2791
187113,Kemiling,11.01.01.2792
187114,Labuhan Ratu,11.01.01.2718
187115,Way Halim,11.01.01.2793
187116,Langkapura,11.01.01.2794
187117,Enggal,11.01.01.2795
187118,Kedamaian,11.01.01.2796
187119,Telukbetung Timur,11.01.01.2797
187120,Bumi Waras,11.01.01.2798
187201,Metro Pusat,11.01.01.2799
187202,Metro Utara,11.01.01.2800
187203,Metro Barat,11.01.01.2801
187204,Metro Timur,11.01.01.2802
187205,Metro Selatan,11.01.01.2803
190101,Sungailiat (Sungai Liat),11.01.01.2804
190102,Belinyu,11.01.01.2805
190103,Merawang,11.01.01.2806
190104,Mendo Barat,11.01.01.2807
190105,Pemali,11.01.01.2808
190106,Bakam,11.01.01.2809
190107,Riau Silip,11.01.01.2810
190108,Puding Besar,11.01.01.2811
190201,Tanjung Pandan,11.01.01.2812
190202,Membalong,11.01.01.2813
190203,Selat Nasik,11.01.01.2814
190204,Sijuk,11.01.01.2815
190205,Badau,11.01.01.2816
190301,Toboali,11.01.01.2817
190302,Lepar (Lepar Pongok),11.01.01.2818
190303,Airgegas (Air Gegas),11.01.01.2819
190304,Simpang Rimba,11.01.01.2820
190305,Payung,11.01.01.1380
190306,Tukak Sadai,11.01.01.2821
190307,Pulau Besar (Pulaubesar),11.01.01.2822
190308,Kepulauan Pongok,11.01.01.2823
190401,Koba,11.01.01.2824
190402,Pangkalan Baru,11.01.01.2825
190403,Sungai Selan,11.01.01.2826
190404,Simpang Katis,11.01.01.2827
190405,Namang,11.01.01.2828
190406,Lubuk Besar,11.01.01.2829
190501,Mentok (Muntok),11.01.01.2830
190502,Simpang Teritip,11.01.01.2831
190503,Jebus,11.01.01.2832
190504,Kelapa,11.01.01.2833
190505,Tempilang,11.01.01.2834
190506,Parittiga,11.01.01.2835
190601,Manggar,11.01.01.2836
190602,Gantung,11.01.01.2837
190603,Dendang,11.01.01.2169
190604,Kelapa Kampit,11.01.01.2838
190605,Damar,11.01.01.2839
190606,Simpang Renggiang,11.01.01.2840
190607,Simpang Pesak,11.01.01.2841
197101,Bukit Intan (Bukitintan),11.01.01.2842
197102,Taman Sari,11.01.01.2843
197103,Pangkal Balam,11.01.01.2844
197104,Rangkui,11.01.01.2845
197105,Gerunggang,11.01.01.2846
197106,Gabek,11.01.01.2847
197107,Girimaya,11.01.01.2848
210104,Gunung Kijang,11.01.01.2849
210106,Bintan Timur,11.01.01.2850
210107,Bintan Utara,11.01.01.2851
210108,Teluk Bintan,11.01.01.2852
210109,Tambelan,11.01.01.2853
210110,Telok Sebong (Teluk Sebong),11.01.01.2854
210112,Toapaya,11.01.01.2855
210113,Mantang,11.01.01.2856
210114,Bintan Pesisir,11.01.01.2857
210115,Seri Kuala Lobam (Sri),11.01.01.2858
210201,Moro,11.01.01.2859
210202,Kundur,11.01.01.2860
210203,Karimun,11.01.01.2861
210204,Meral,11.01.01.2862
210205,Tebing,11.01.01.2863
210206,Buru,11.01.01.2864
210207,Kundur Utara,11.01.01.2865
210208,Kundur Barat,11.01.01.2866
210209,Durai,11.01.01.2867
210210,Meral Barat,11.01.01.2868
210211,Ungar,11.01.01.2869
210212,Belat,11.01.01.2870
210213,Selat Gelam,11.01.01.2871
210214,Sugie Besar,11.01.01.2872
210304,Midai,11.01.01.2873
210305,Bunguran Barat,11.01.01.2874
210306,Serasan,11.01.01.2875
210307,Bunguran Timur,11.01.01.2876
210308,Bunguran Utara,11.01.01.2877
210309,Subi,11.01.01.2878
210310,Pulau Laut,11.01.01.2879
210311,Pulau Tiga,11.01.01.2880
210315,Bunguran Timur Laut,11.01.01.2881
210316,Bunguran Tengah,11.01.01.2882
210318,Bunguran Selatan,11.01.01.2883
210319,Serasan Timur,11.01.01.2884
210320,Bunguran Batubi,11.01.01.2885
210321,Pulau Tiga Barat,11.01.01.2886
210322,Suak Midai,11.01.01.2887
210323,Pulau Panjang,11.01.01.2888
210324,Pulau Seluan,11.01.01.2889
210401,Singkep,11.01.01.2890
210402,Lingga,11.01.01.2891
210403,Senayang,11.01.01.2892
210404,Singkep Barat,11.01.01.2893
210405,Lingga Utara,11.01.01.2894
210406,Singkep Pesisir,11.01.01.2895
210407,Lingga Timur,11.01.01.2896
210408,Selayar,11.01.01.2897
210409,Singkep Selatan,11.01.01.2898
210410,Kepulauan Posek,11.01.01.2899
210411,Katang Bidare,11.01.01.2900
210412,Temiang Pesisir,11.01.01.2901
210413,Bakung Serumpun,11.01.01.2902
210501,Siantan,11.01.01.2903
210502,Palmatak,11.01.01.2904
210503,Siantan Timur,11.01.01.2905
210504,Siantan Selatan,11.01.01.2906
210505,Jemaja Timur,11.01.01.2907
210506,Jemaja,11.01.01.2908
210507,Siantan Tengah,11.01.01.2909
210508,Siantan Utara,11.01.01.2910
210509,Jemaja Barat,11.01.01.2911
210510,Kute Siantan,11.01.01.2912
217101,Belakang Padang,11.01.01.2913
217102,Batu Ampar,11.01.01.2914
217103,Sekupang,11.01.01.2915
217104,Nongsa,11.01.01.2916
217105,Bulang,11.01.01.2917
217106,Lubuk Baja,11.01.01.2918
217107,Sei Beduk (Sungai Beduk),11.01.01.2919
217108,Galang,11.01.01.1396
217109,Bengkong,11.01.01.2920
217110,Batam Kota,11.01.01.2921
217111,Sagulung,11.01.01.2922
217112,Batu Aji,11.01.01.2923
217201,Tanjung Pinang Barat,11.01.01.2924
217202,Tanjung Pinang Timur,11.01.01.2925
217203,Tanjung Pinang Kota,11.01.01.2926
217204,Bukit Bestari,11.01.01.2927
310101,Kepulauan Seribu Utara,11.01.01.2928
310102,Kepulauan Seribu Selatan,11.01.01.2929
317101,Gambir,11.01.01.2930
317102,Sawah Besar,11.01.01.2931
317103,Kemayoran,11.01.01.2932
317104,Senen,11.01.01.2933
317105,Cempaka Putih,11.01.01.2934
317106,Menteng,11.01.01.2935
317107,Tanah Abang,11.01.01.2414
317108,Johar Baru,11.01.01.2936
317201,Penjaringan,11.01.01.2937
317202,Tanjung Priok,11.01.01.2938
317203,Koja,11.01.01.2939
317204,Cilincing,11.01.01.2940
317205,Pademangan,11.01.01.2941
317206,Kelapa Gading,11.01.01.2942
317301,Cengkareng,11.01.01.2943
317302,Grogol Petamburan,11.01.01.2944
317303,Taman Sari,11.01.01.2843
317304,Tambora,11.01.01.2945
317305,Kebon Jeruk,11.01.01.2946
317306,Kalideres,11.01.01.2947
317307,Pal Merah (Palmerah),11.01.01.2948
317308,Kembangan,11.01.01.2949
317401,Tebet,11.01.01.2950
317402,Setiabudi (Setia Budi),11.01.01.2951
317403,Mampang Prapatan,11.01.01.2952
317404,Pasar Minggu,11.01.01.2953
317405,Kebayoran Lama,11.01.01.2954
317406,Cilandak,11.01.01.2955
317407,Kebayoran Baru,11.01.01.2956
317408,Pancoran,11.01.01.2957
317409,Jagakarsa,11.01.01.2958
317410,Pesanggrahan,11.01.01.2959
317501,Matraman,11.01.01.2960
317502,Pulogadung (Pulo Gadung),11.01.01.2961
317503,Jatinegara,11.01.01.2962
317504,Kramatjati (Kramat Jati),11.01.01.2963
317505,Pasar Rebo,11.01.01.2964
317506,Cakung,11.01.01.2965
317507,Duren Sawit,11.01.01.2966
317508,Makasar,11.01.01.2967
317509,Ciracas,11.01.01.2968
317510,Cipayung,11.01.01.2969
320101,Cibinong,11.01.01.2970
320102,Gunung Putri,11.01.01.2971
320103,Citeureup,11.01.01.2972
320104,Sukaraja,11.01.01.2517
320105,Babakan Madang,11.01.01.2973
320106,Jonggol,11.01.01.2974
320107,Cileungsi,11.01.01.2975
320108,Cariu,11.01.01.2976
320109,Sukamakmur,11.01.01.2977
320110,Parung,11.01.01.2978
320111,Gunung Sindur,11.01.01.2979
320112,Kemang,11.01.01.2980
320113,Bojong Gede (Bojonggede),11.01.01.2981
320114,Leuwiliang,11.01.01.2982
320115,Ciampea,11.01.01.2983
320116,Cibungbulang,11.01.01.2984
320117,Pamijahan,11.01.01.2985
320118,Rumpin,11.01.01.2986
320119,Jasinga,11.01.01.2987
320120,Parung Panjang,11.01.01.2988
320121,Nanggung,11.01.01.2989
320122,Cigudeg,11.01.01.2990
320123,Tenjo,11.01.01.2991
320124,Ciawi,11.01.01.2992
320125,Cisarua,11.01.01.2993
320126,Megamendung,11.01.01.2994
320127,Caringin,11.01.01.2995
320128,Cijeruk,11.01.01.2996
320129,Ciomas,11.01.01.2997
320130,Dramaga,11.01.01.2998
320131,Tamansari,11.01.01.2999
320132,Klapanunggal,11.01.01.3000
320133,Ciseeng,11.01.01.3001
320134,Ranca Bungur,11.01.01.3002
320135,Sukajaya,11.01.01.1272
320136,Tanjungsari,11.01.01.3003
320137,Tajurhalang,11.01.01.3004
320138,Cigombong,11.01.01.3005
320139,Leuwisadeng,11.01.01.3006
320140,Tenjolaya,11.01.01.3007
320201,Palabuhanratu (Pelabuhanratu),11.01.01.3008
320202,Simpenan,11.01.01.3009
320203,Cikakak,11.01.01.3010
320204,Bantargadung,11.01.01.3011
320205,Cisolok,11.01.01.3012
320206,Cikidang,11.01.01.3013
320207,Lengkong,11.01.01.3014
320208,Jampangtengah (Jampang Tengah),11.01.01.3015
320209,Warungkiara,11.01.01.3016
320210,Cikembar,11.01.01.3017
320211,Cibadak,11.01.01.3018
320212,Nagrak,11.01.01.3019
320213,Parungkuda (Parung Kuda),11.01.01.3020
320214,Bojonggenteng (Bojong Genteng),11.01.01.3021
320215,Parakansalak (Parakan Salak),11.01.01.3022
320216,Cicurug,11.01.01.3023
320217,Cidahu,11.01.01.3024
320218,Kalapanunggal (Kalapa Nunggal),11.01.01.3025
320219,Kabandungan,11.01.01.3026
320220,Waluran,11.01.01.3027
320221,Jampangkulon (Jampang Kulon),11.01.01.3028
320222,Ciemas,11.01.01.3029
320223,Kalibunder,11.01.01.3030
320224,Surade,11.01.01.3031
320225,Cibitung,11.01.01.3032
320226,Ciracap,11.01.01.3033
320227,Gunungguruh,11.01.01.3034
320228,Cicantayan,11.01.01.3035
320229,Cisaat,11.01.01.3036
320230,Kadudampit,11.01.01.3037
320231,Caringin,11.01.01.2995
320232,Sukabumi,11.01.01.2791
320233,Sukaraja,11.01.01.2517
320234,Kebonpedes,11.01.01.3038
320235,Cireunghas,11.01.01.3039
320236,Sukalarang,11.01.01.3040
320237,Pabuaran,11.01.01.3041
320238,Purabaya,11.01.01.3042
320239,Nyalindung,11.01.01.3043
320240,Gegerbitung (Geger Bitung),11.01.01.3044
320241,Sagaranten,11.01.01.3045
320242,Curugkembar,11.01.01.3046
320243,Cidolog,11.01.01.3047
320244,Cidadap,11.01.01.3048
320245,Tegalbuleud,11.01.01.3049
320246,Cimanggu,11.01.01.3050
320247,Ciambar,11.01.01.3051
320301,Cianjur,11.01.01.3052
320302,Warungkondang,11.01.01.3053
320303,Cibeber,11.01.01.3054
320304,Cilaku,11.01.01.3055
320305,Ciranjang,11.01.01.3056
320306,Bojongpicung,11.01.01.3057
320307,Karangtengah,11.01.01.3058
320308,Mande,11.01.01.3059
320309,Sukaluyu,11.01.01.3060
320310,Pacet,11.01.01.3061
320311,Cugenang,11.01.01.3062
320312,Cikalongkulon,11.01.01.3063
320313,Sukaresmi,11.01.01.3064
320314,Sukanagara,11.01.01.3065
320315,Campaka,11.01.01.3066
320316,Takokak,11.01.01.3067
320317,Kadupandak,11.01.01.3068
320318,Pagelaran,11.01.01.2751
320319,Tanggeung,11.01.01.3069
320320,Cibinong,11.01.01.2970
320321,Sindangbarang,11.01.01.3070
320322,Agrabinta,11.01.01.3071
320323,Cidaun,11.01.01.3072
320324,Naringgul,11.01.01.3073
320325,Campakamulya (Campaka Mulya),11.01.01.3074
320326,Cikadu,11.01.01.3075
320327,Gekbrong,11.01.01.3076
320328,Cipanas,11.01.01.3077
320329,Cijati,11.01.01.3078
320330,Leles,11.01.01.3079
320331,Haurwangi,11.01.01.3080
320332,Pasirkuda,11.01.01.3081
320405,Cileunyi,11.01.01.3082
320406,Cimenyan (Cimeunyan),11.01.01.3083
320407,Cilengkrang,11.01.01.3084
320408,Bojongsoang,11.01.01.3085
320409,Margahayu,11.01.01.3086
320410,Margaasih,11.01.01.3087
320411,Katapang,11.01.01.3088
320412,Dayeuhkolot,11.01.01.3089
320413,Banjaran,11.01.01.3090
320414,Pameungpeuk,11.01.01.3091
320415,Pangalengan,11.01.01.3092
320416,Arjasari,11.01.01.3093
320417,Cimaung,11.01.01.3094
320425,Cicalengka,11.01.01.3095
320426,Nagreg,11.01.01.3096
320427,Cikancung,11.01.01.3097
320428,Rancaekek,11.01.01.3098
320429,Ciparay,11.01.01.3099
320430,Pacet,11.01.01.3061
320431,Kertasari,11.01.01.3100
320432,Baleendah,11.01.01.3101
320433,Majalaya,11.01.01.3102
320434,Solokanjeruk (Solokan Jeruk),11.01.01.3103
320435,Paseh,11.01.01.3104
320436,Ibun,11.01.01.3105
320437,Soreang,11.01.01.3106
320438,Pasirjambu,11.01.01.3107
320439,Ciwidey,11.01.01.3108
320440,Rancabali (Ranca Bali),11.01.01.3109
320444,Cangkuang,11.01.01.3110
320446,Kutawaringin,11.01.01.3111
320501,Garut Kota,11.01.01.3112
320502,Karangpawitan,11.01.01.3113
320503,Wanaraja,11.01.01.3114
320504,Tarogong Kaler,11.01.01.3115
320505,Tarogong Kidul,11.01.01.3116
320506,Banyuresmi,11.01.01.3117
320507,Samarang,11.01.01.3118
320508,Pasirwangi,11.01.01.3119
320509,Leles,11.01.01.3079
320510,Kadungora,11.01.01.3120
320511,Leuwigoong,11.01.01.3121
320512,Cibatu,11.01.01.3122
320513,Kersamanah,11.01.01.3123
320514,Malangbong,11.01.01.3124
320515,Sukawening,11.01.01.3125
320516,Karangtengah,11.01.01.3058
320517,Bayongbong,11.01.01.3126
320518,Cigedug,11.01.01.3127
320519,Cilawu,11.01.01.3128
320520,Cisurupan,11.01.01.3129
320521,Sukaresmi,11.01.01.3064
320522,Cikajang,11.01.01.3130
320523,Banjarwangi,11.01.01.3131
320524,Singajaya,11.01.01.3132
320525,Cihurip,11.01.01.3133
320526,Peundeuy,11.01.01.3134
320527,Pameungpeuk,11.01.01.3091
320528,Cisompet,11.01.01.3135
320529,Cibalong,11.01.01.3136
320530,Cikelet,11.01.01.3137
320531,Bungbulang,11.01.01.3138
320532,Mekarmukti,11.01.01.3139
320533,Pakenjeng,11.01.01.3140
320534,Pamulihan,11.01.01.3141
320535,Cisewu,11.01.01.3142
320536,Caringin,11.01.01.2995
320537,Talegong,11.01.01.3143
320538,Bl. Limbangan (Blubur Limbangan),11.01.01.3144
320539,Selaawi,11.01.01.3145
320540,Cibiuk,11.01.01.3146
320541,Pangatikan,11.01.01.3147
320542,Sucinaraja,11.01.01.3148
320601,Cipatujah,11.01.01.3149
320602,Karangnunggal,11.01.01.3150
320603,Cikalong,11.01.01.3151
320604,Pancatengah,11.01.01.3152
320605,Cikatomas,11.01.01.3153
320606,Cibalong,11.01.01.3136
320607,Parungponteng,11.01.01.3154
320608,Bantarkalong,11.01.01.3155
320609,Bojongasih,11.01.01.3156
320610,Culamega,11.01.01.3157
320611,Bojonggambir,11.01.01.3158
320612,Sodonghilir,11.01.01.3159
320613,Taraju,11.01.01.3160
320614,Salawu,11.01.01.3161
